,dōngxi,thing,东西,,
,rì,day,日,,
,,,,day,
,niǔyuē,New York,纽约,,
,liù,six,六,,
,miàn,noodle,面,,
,,,,noodle,
,yuè,moon,月,,
,méi,No,没,,
,,,,No,
,yī,one,一,,
,,,,one,
,bàba,dad,爸爸,,
,xiàwǔ,afternoon,下午,,
,,,,afternoon,
,huì,Can,会,,
,,,,Can,
,kuài,quick,快,,
,,,,quick,
,nǎr,where,哪儿,,
,zhāng,open,张,,
,yào,want,要,,
,fàndiàn,restaurant,饭店,,
,hǎojiǔbujiàn,have not seen you for a long time,好久不见,,
,qī,seven,七,,
,shuìjiào,sleep,睡觉,,
,nàr,there,那儿,,
,hǎojiǔbujiàn,have not seen you for a long time,好久不见,,
,èr,two,二,,
,lěng,cold,冷,,
,,,,cold,
,màn,slow,慢,,
,fàn,meal,饭,,
,shāngdiàn,shop,商店,,
,,,,shop,
,hǎo,Okay,好,,
,sì,Four,四,,
,xiànzài,Now,现在,,
,,,,Now,
,nán,male,男,,
,xuéxiào,School,学校,,
,wèn,ask,问,,
,xuésheng,student,学生,,
,shū,Book,书,,
,bā,Eight,八,,
,gēge,elder brother,哥哥,,
,zài,Again,再,,
,érzi,son,儿子,,
,,,,son,
,hànyǔ,Chinese,汉语,,
,dé,have to,得,,
,,,,have to,
,běijīng,Beijing,北京,,
,xǐhuan,like,喜欢,,
,,,,like,
,ǎi,short,矮,,
,yú,fish,鱼,,
,sì,Four,四,,
,hǎojiǔbujiàn,have not seen you for a long time,好久不见,,
,duì,right,对,,
,,,,right,
,qǐngwèn,Excuse me,请问,,
,dìdi,younger brother,弟弟,,
,fàn,meal,饭,,
,wáng,King,王,,
,kāfēi,coffee,咖啡,,
,tīng,hear,听,,
,,,,hear,
,měiguó,America,美国,,
,qián,money,钱,,
,tāmen,they,她们,,
,le,In,了,,
,,,,In,
,zǎoshang,Morning,早上,,
,měiguó,America,美国,,
,tāmen,them,他们,,
,wèi,Hey,喂,,
,,,,Hey,
,bǎi,Hundred,百,,
,bāngzhù,help,帮助,,
,bùcuò,good,不错,,
,,,,good,
,bù kèqi,You are welcome,不客气,,
,bàba,dad,爸爸,,
,duōshǎo,How many,多少,,
,zhāng,open,张,,
,,,,open,
,zuótiān,yesterday,昨天,,
,xià,Down,下,,
,líng,zero,零,,
,zài,Again,再,,
,shíhou,when,时候,,
,,,,when,
,diànyǐng,Movie,电影,,
,shéi,Who,谁,,
,jiārén,family,家人,,
,liǎng,two,两,,
,míngbai,clear,明白,,
,,,,clear,
,dà,Big,大,,
,,,,Big,
,huǒchēzhàn,train station,火车站,,
,jiārén,family,家人,,
,zì,Character,字,,
,,,,Character,
,méiguānxi,It does not matter,没关系,,
,shuōhuà,say,说话,,
,,,,say,
,chī,eat,吃,,
,,,,eat,
,míngzì,name,名字,,
,cài,vegetable,菜,,
,tiān,sky,天,,
,,,,sky,
,míngbai,clear,明白,,
,yào,want,要,,
,,,,want,
,xiànzài,Now,现在,,
,zhù,live,住,,
,,,,live,
,píngguǒ,Apple,苹果,,
,,,,Apple,
,rè,hot,热,,
,xuéxiào,School,学校,,
,gāoxìng,Happy,高兴,,
